timestamp,x,y,z_raw,z_filtered,proj_t,phase_state,height_state
1.77012e+09,0.0272057,6.62363,-0.510503,-0.517163,0.0586714,1,0
1.77012e+09,-0.00118933,6.39811,-0.498436,-0.516076,0.0272057,1,0
1.77012e+09,-0.0323761,6.61736,-0.515086,-0.513766,-0.00118933,1,0
1.77012e+09,-0.0579695,6.50476,-0.509714,-0.511136,-0.0323761,1,0
1.77012e+09,-0.0869822,6.68452,-0.525598,-0.510861,-0.0579695,1,0
1.77012e+09,-0.116074,6.61794,-0.521367,-0.511867,-0.0869822,1,0
1.77012e+09,-0.140284,6.55834,-0.520992,-0.51404,-0.116074,1,0
1.77012e+09,-0.168526,6.7114,-0.531264,-0.518552,-0.140284,1,0
1.77012e+09,-0.192303,6.78329,-0.538323,-0.521787,-0.168526,2,0
1.77012e+09,-0.206702,6.59016,-0.528417,-0.527509,-0.192303,2,0
1.77012e+09,-0.234908,6.91147,-0.550853,-0.528073,-0.206702,2,0
1.77012e+09,-0.255826,7.0339,-0.561601,-0.53397,-0.234908,2,0
1.77012e+09,0.259572,6.66254,-0.401194,-0.542092,-0.255826,2,0
1.77012e+09,0.235579,6.54203,-0.396789,-0.516078,0.259572,2,0
1.77012e+09,0.21284,6.38229,-0.389114,-0.487771,0.235579,2,0
1.77012e+09,0.206003,6.82407,-0.410664,-0.45991,0.21284,2,0
1.77012e+09,0.173569,6.54705,-0.399764,-0.431873,0.206003,0,1
1.77012e+09,0.146895,6.46923,-0.396606,-0.399505,0.173569,0,1
1.77012e+09,0.12295,6.62007,-0.40503,-0.398587,0.146895,0,1
1.77012e+09,0.0923334,6.57543,-0.404523,-0.400236,0.12295,1,1
1.77012e+09,0.065073,6.38385,-0.397223,-0.403317,0.0923334,1,1
1.77012e+09,0.0361572,6.68424,-0.41348,-0.400629,0.065073,1,1
1.77012e+09,0.00488904,6.57832,-0.41066,-0.403372,0.0361572,1,1
1.77012e+09,-0.0255208,6.8067,-0.424775,-0.406183,0.00488904,1,1
1.77012e+09,-0.0536638,6.597,-0.416052,-0.410132,-0.0255208,1,1
1.77012e+09,-0.0840965,6.59293,-0.419536,-0.412438,-0.0536638,1,1
1.77012e+09,-0.110302,6.43662,-0.412558,-0.4169,-0.0840965,1,1
1.77012e+09,-0.139557,6.58807,-0.423557,-0.416716,-0.110302,1,1
1.77012e+09,-0.168247,6.7228,-0.432369,-0.419295,-0.139557,1,1
1.77012e+09,-0.185688,6.52126,-0.424312,-0.420814,-0.168247,2,1
1.77012e+09,-0.209099,6.6071,-0.432242,-0.422466,-0.185688,2,1
1.77012e+09,-0.231851,6.70914,-0.439777,-0.425007,-0.209099,2,1
1.77012e+09,-0.248681,6.73603,-0.443545,-0.430451,-0.231851,2,1
1.77012e+09,0.273196,6.98557,-0.30512,-0.434449,-0.248681,2,1
1.77012e+09,0.243177,6.6644,-0.296102,-0.408999,0.273196,2,1
1.77012e+09,0.220137,6.49207,-0.291004,-0.383357,0.243177,2,1
1.77012e+09,0.201055,6.56328,-0.293107,-0.355109,0.220137,2,1
1.77012e+09,0.178582,6.55664,-0.293956,-0.325775,0.201055,0,2
1.77012e+09,0.153774,6.51685,-0.293836,-0.295858,0.178582,0,2
1.77012e+09,0.131936,6.62688,-0.297532,-0.293601,0.153774,0,2
1.77012e+09,0.103069,6.73382,-0.302117,-0.293887,0.131936,1,2
1.77012e+09,0.0717641,6.37988,-0.292839,-0.29611,0.103069,1,2
1.77012e+09,0.0430401,6.42545,-0.296192,-0.296056,0.0717641,1,2
1.77012e+09,0.0147604,6.47187,-0.299926,-0.296503,0.0430401,1,2
1.77012e+09,-0.015382,6.58544,-0.306228,-0.297721,0.0147604,1,2
1.77012e+09,-0.0429338,6.38952,-0.300929,-0.299461,-0.015382,1,2
